account_rewards,date
-281.29935251234565,2022-04-04
121.97287597658578,2022-04-05
-443.8159595489269,2022-04-06
-237.77234802243765,2022-04-07
25.90379170223605,2022-04-08
-33.54321441648062,2022-04-11
-2.100614929222502,2022-04-12
0.0,2022-04-13
-236.5191890716087,2022-04-14
107.97804496763274,2022-04-18
-1.524700012174435,2022-04-19
-37.19429275509901,2022-04-20
-0.7077999877510592,2022-04-21
0.0,2022-04-22
-150.62558536150027,2022-04-25
-2.2648999729426578,2022-04-26
-0.9897581634577364,2022-04-27
-0.19396499637514353,2022-04-28
-140.6267499923706,2022-04-29
18.071518123615533,2022-05-02
231.1242484016111,2022-05-03
-375.1751751708798,2022-05-04
-145.70239487837534,2022-05-05
-917.6922718047863,2022-05-06
-438.89482555387076,2022-05-09
-702.1123947143788,2022-05-10
265.76668052677996,2022-05-11
393.5977538471343,2022-05-12
-360.1141029091086,2022-05-13
652.2279078102438,2022-05-16
-903.6338819504017,2022-05-17
765.0344491271535,2022-05-18
-329.7675261840923,2022-05-19
29.685562515282072,2022-05-20
-478.1537398357177,2022-05-23
1260.1868371581659,2022-05-24
-5.585744911222719,2022-05-25
0.0,2022-05-26
0.0,2022-05-27
-84.01985614199657,2022-05-31
617.5149248123635,2022-06-01
-10.62507400510367,2022-06-02
-231.83909958263393,2022-06-03
379.2058482284192,2022-06-06
-10.663379272446036,2022-06-07
-234.71860740275588,2022-06-08
-3.0632748985663056,2022-06-09
-21.938172668451443,2022-06-10
210.88370056147687,2022-06-13
42.03972166439053,2022-06-14
-59.06305881496519,2022-06-15
387.37158527376596,2022-06-16
270.8658576584421,2022-06-17
-54.46677780151367,2022-06-21
116.78761940007098,2022-06-22
-58.03048057551496,2022-06-23
-165.74714118195698,2022-06-24
-292.6375328063732,2022-06-27
-91.06170024874154,2022-06-28
-22.391415786696598,2022-06-29
50.362749134073965,2022-06-30
-180.67140815733,2022-07-01
